age,banking_seniority_years,client_status_is_new,interaction_frequency_rare,dependents_count,has_spouse,spouse_income,is_married,is_employed_cdi,is_unemployed,job_seniority_years,job_stability_high,job_stability_low,monthly_income,monthly_expenses,existing_debt,debt_monthly_payment,debt_ratio,available_savings,has_banking_incidents,major_banking_incidents,amount_requested,duration_months,is_real_estate,is_investment,is_comfort_expense,stress_level,urgency_level,project_clarity,engagement_level,low_coherence,external_pressure,short_term_only,risk_professional_instability,risk_high_debt,risk_spouse_dependency,risk_non_priority,risk_excessive_urgency,risk_incoherent,total_risk_flags,global_risk_high,repayment_capacity_insufficient,expense_ratio,credit_to_income_ratio,default
45,6.6,0,0,0,0,0.0,0,1,0,10.1,1,0,2861.74,1660.76,2988.06,51.03,0.018,8932.15,0,0,3392.31,24,0,0,0,3,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0.099,0
34,7.7,0,0,2,1,2597.78,1,1,0,0.3,0,1,2484.56,2301.1,40803.07,1532.71,0.617,513.89,0,0,2170.6,36,0,1,0,4,2,2,4,1,0,1,1,1,0,0,0,1,3,1,1,0.926,0.073,0
38,7.5,0,1,3,1,1692.73,1,1,0,8.8,1,0,1416.71,1618.31,0.0,0.0,0.0,3912.04,0,0,7829.85,48,1,0,0,1,4,1,4,0,0,1,0,0,0,0,0,0,0,0,0,1.142,0.461,0
50,1.9,0,0,2,1,2442.39,1,1,0,6.2,1,0,4003.53,3115.16,0.0,0.0,0.0,7369.45,0,0,1000.0,12,0,0,0,4,5,4,5,0,1,0,0,0,0,0,1,0,1,0,0,0.778,0.021,0
49,7.0,0,0,0,0,0.0,0,1,0,13.3,1,0,3501.45,2315.99,10955.36,199.76,0.057,3875.5,0,0,12413.62,60,0,0,0,1,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.661,0.295,0
24,5.9,0,0,0,0,0.0,0,1,0,4.1,0,0,5943.66,3097.55,0.0,0.0,0.0,1464.58,0,0,11723.86,12,1,0,1,4,5,1,1,0,1,1,0,0,0,1,1,0,2,0,0,0.521,0.164,0
52,3.4,0,1,0,1,1879.73,1,0,0,2.3,0,0,2618.51,1544.12,27717.18,1696.91,0.648,9018.22,0,0,19250.34,12,0,0,0,4,1,1,2,0,0,1,0,1,0,0,0,0,1,0,1,0.59,0.613,0
50,6.6,0,0,2,1,1999.51,1,0,1,0.0,0,1,695.51,986.0,0.0,0.0,0.0,27934.93,1,0,4369.67,24,1,0,1,1,4,3,1,1,0,0,1,0,1,1,0,1,4,1,0,1.418,0.524,0
42,4.7,0,0,0,1,3992.62,1,0,0,1.3,0,1,2379.07,1459.92,0.0,0.0,0.0,1968.17,0,0,10622.19,48,0,0,0,5,3,3,3,0,0,0,1,0,1,0,0,0,2,0,0,0.614,0.372,0
44,4.3,0,0,0,1,1643.29,1,0,0,15.4,1,0,2385.98,1609.25,0.0,0.0,0.0,77.89,0,0,7176.67,84,1,0,0,1,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0.674,0.251,0
39,13.3,0,0,0,1,1455.44,1,1,0,1.9,0,1,2249.24,1472.35,0.0,0.0,0.0,6170.63,0,0,2882.59,24,0,0,0,4,5,4,1,1,1,0,1,0,0,0,1,1,3,1,0,0.655,0.107,0
19,0.3,1,1,0,1,4011.64,1,1,0,0.8,0,1,2324.2,1614.28,43299.42,1803.24,0.776,198.04,0,0,1000.0,60,0,1,0,5,4,3,4,1,1,0,1,1,1,0,0,1,4,1,1,0.695,0.036,0
45,6.3,0,0,1,0,0.0,0,0,0,1.4,0,1,3425.03,1729.81,23232.91,988.22,0.289,492.88,0,0,2858.54,72,0,0,0,5,5,3,4,0,1,0,1,0,0,0,1,0,2,0,0,0.505,0.07,1
35,0.5,1,0,1,1,1847.78,1,1,0,0.1,0,1,3699.09,2163.94,0.0,0.0,0.0,5245.88,0,0,7941.98,72,1,0,0,3,2,1,5,0,0,1,1,0,0,0,0,0,1,0,0,0.585,0.179,0
44,8.1,0,1,2,0,0.0,0,0,0,8.6,1,0,2740.99,2211.1,33271.27,1517.79,0.554,1600.76,0,0,3516.4,36,0,0,0,2,2,2,3,0,0,1,0,1,0,0,0,0,1,0,0,0.807,0.107,1
38,6.0,0,1,3,1,1996.24,1,1,0,6.9,1,0,3876.75,3389.07,21805.65,730.34,0.188,7489.77,0,0,17022.44,48,0,1,0,1,5,3,3,0,0,0,0,0,0,0,1,0,1,0,0,0.874,0.366,0
34,11.8,0,0,1,1,2577.6,1,1,0,3.0,0,0,3595.16,2054.3,0.0,0.0,0.0,5581.62,0,0,8097.38,12,0,0,0,5,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0.571,0.188,0
47,5.8,0,1,3,1,1348.43,1,1,0,11.1,1,0,2616.51,2061.68,0.0,0.0,0.0,1327.83,0,0,6197.53,36,0,0,0,4,3,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0.788,0.197,0
37,1.5,0,0,2,1,3018.05,1,0,0,5.7,1,0,2428.82,1744.59,0.0,0.0,0.0,3247.71,0,0,1000.0,60,1,0,0,5,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0.718,0.034,0
53,0.4,1,0,0,0,0.0,0,0,1,0.0,0,1,620.55,385.44,48017.72,3249.39,5.236,2508.68,0,0,16658.3,24,0,0,0,4,2,4,4,0,0,0,1,1,0,0,0,0,2,0,1,0.621,2.237,1
34,1.6,0,0,2,0,0.0,0,1,0,0.4,0,1,2950.52,2612.73,0.0,0.0,0.0,4351.36,0,0,1834.66,36,1,0,1,3,5,2,1,0,0,1,1,0,0,1,1,0,3,1,0,0.886,0.052,0
42,9.1,0,0,1,0,0.0,0,1,0,10.0,1,0,3005.24,2195.4,42783.07,1792.13,0.596,2994.13,0,0,5103.0,84,0,0,0,2,4,2,2,0,0,1,0,1,0,0,0,0,1,0,0,0.731,0.142,0
54,4.0,0,0,3,0,0.0,0,1,0,0.1,0,1,3067.52,2821.93,35795.83,1610.81,0.525,733.06,0,0,11461.39,24,0,1,0,1,4,2,3,0,0,1,1,1,0,0,0,0,2,0,0,0.92,0.311,0
18,0.9,1,1,2,0,0.0,0,1,0,4.8,0,0,1851.95,1662.82,0.0,0.0,0.0,3852.99,0,0,3035.69,36,0,0,0,4,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.898,0.137,0
23,5.6,0,0,1,0,0.0,0,1,0,3.8,0,0,3504.11,2075.87,8179.92,293.77,0.084,1939.96,0,0,23656.72,36,0,0,0,4,1,1,3,1,0,1,0,0,0,0,0,1,1,0,0,0.592,0.563,0
37,2.3,0,0,2,0,0.0,0,1,0,6.9,1,0,3576.56,2579.64,0.0,0.0,0.0,566.81,0,0,6304.38,36,0,0,0,2,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0.721,0.147,0
35,2.2,0,1,1,1,811.44,1,0,0,4.1,0,0,3183.55,1935.17,0.0,0.0,0.0,11495.33,0,0,24074.52,24,0,0,1,5,5,4,3,1,1,0,0,0,0,1,1,1,3,1,0,0.608,0.63,0
42,12.5,0,0,4,1,3226.3,1,0,0,8.6,1,0,2228.78,2410.2,11843.72,202.58,0.091,6205.82,0,0,20465.39,48,0,0,1,5,3,4,5,0,0,0,0,0,0,1,0,0,1,0,0,1.081,0.765,0
29,0.3,1,1,1,1,2192.36,1,1,0,5.7,1,0,3529.8,2211.29,0.0,0.0,0.0,2145.22,0,0,15572.39,60,1,0,1,1,2,4,3,1,0,0,0,0,0,1,0,1,2,0,0,0.626,0.368,0
54,0.8,1,1,0,0,0.0,0,1,0,8.4,1,0,3254.42,1951.22,0.0,0.0,0.0,2222.31,0,0,12848.36,36,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.6,0.329,0
35,0.3,1,0,2,0,0.0,0,1,0,6.6,1,0,2118.12,2005.56,0.0,0.0,0.0,6763.54,0,0,7406.28,84,1,0,1,1,4,2,2,0,0,1,0,0,0,1,0,0,1,0,0,0.947,0.291,0
41,2.4,0,0,2,1,1742.13,1,1,0,3.3,0,0,4414.25,2381.86,0.0,0.0,0.0,4167.89,0,0,3364.82,36,1,1,0,2,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0.064,0
37,10.3,0,1,2,1,2537.53,1,0,0,6.1,1,0,2200.2,1880.55,0.0,0.0,0.0,6667.45,0,0,1974.75,72,0,0,1,4,1,1,3,0,0,1,0,0,0,1,0,0,1,0,0,0.855,0.075,0
38,8.1,0,0,1,0,0.0,0,1,0,12.6,1,0,2573.12,1596.6,0.0,0.0,0.0,6687.54,0,0,3993.12,12,0,0,0,1,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0.62,0.129,0
21,4.0,0,0,4,0,0.0,0,1,0,0.4,0,1,3000.7,2936.25,0.0,0.0,0.0,6930.68,0,0,5578.11,60,0,0,0,3,2,1,3,0,0,1,1,0,0,0,0,0,1,0,0,0.979,0.155,0
18,0.0,1,0,0,1,1507.49,1,0,0,2.3,0,0,2666.58,1393.61,0.0,0.0,0.0,848.92,0,0,1700.66,48,0,0,0,3,5,1,5,1,0,1,0,0,0,0,1,1,2,0,0,0.523,0.053,0
35,1.4,0,1,3,1,2316.63,1,1,0,5.5,1,0,2342.77,2467.08,0.0,0.0,0.0,446.94,0,0,2321.84,12,0,0,0,2,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,1.053,0.083,0
36,8.9,0,0,2,0,0.0,0,0,0,1.2,0,1,1922.54,1931.1,7483.42,191.11,0.099,21122.49,0,0,4668.37,36,1,0,0,1,3,4,2,0,0,0,1,0,0,0,0,0,1,0,0,1.004,0.202,0
